Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
"bánh rất nhiều tôm to, tôm giòn nằm chễm chệ trên vỏ bánh mềm thơm ngon. món ăn thuộc loại rolling in the deep, nghĩa là cuốn với rau, dưa chuột, giá, vỏ bánh mềm. ngoài ra, đặc biệt không thể thiếu của món ăn là nước chấm chua cay rất bình định, vừa miệng đến khó tả. đặc biệt, quán có sữa ngô tuyệt đỉnh, kết hợp combo với bánh xèo cuốn này tạo thành một cặp trời sinh. ai không thích tôm nhảy, có thể đổi sang bò hoặc mực cũng ngon không kém.",0,0,0,5,0,0
"đi quy nhơn cứ lo không có pizza ăn nhưng nhờ có foody nên đã tìm ra quán này nèeee  review tốt nên mình cũng rất háo hức và wow đúng là tốt thật á mọi ngườist impression là quán cách khách sạn mìnhm , gần biển nữa. đồ ăn ngon, hợp khẩu vị. gnocchi sốt ngon, pizza thơm, phô mai ngậy, sizecm mà chưa đếnk  xỉu vì rẻ là có thiệt và sườn ăn vừa miệng. cheesecake ăn chua chua còn brownie thì hơi cứng xíu, ncl ngon. staff nice cực kì xong còn giới thiệu con chó giống gì này nọ cho mình nữa  con bulldog tên jimmy gì ó thì cute thực sự cứ ngồi chực ăn hôi buồn cười lắm  ăn người thiệt hạik thôi gồm cả nước. chốt lại là kết quán này luôn sau này đến qn phải kéo thêm người đến mới được keke",0,0,0,5,0,0
"các món ăn ở đây không có gì đặc sắc, có lẽ nấu theo kiểu nhà hàng cho khách tây, nên các món không có j đặc trưng, nhiều món nhưng tầm thường, nêm nếm rất lạt lẽo, không đúng khẩu vị việt",0,0,1,1,0,0
"lần thứ quay lại đây, vì giới thiệu quán cà phê rộng nhất quy nhơn nên mình mới đưa bạn tới đây chứ thật sự thì có rất nhiều lựa chọn khác tốt hơn, thật sự thì green chỉ được cái không gian rộng , đẹp chứ đồ uống thì fail hoàn toàn, sinh tố cam thì chua lè kiểu như pha nước chứ chắc chắn không phải nguyên chất cam, sinh tố cà chua và dứa cũng tương tự, lần trước uống capuchino dở rồi nên rút kinh nghiệm không kêu mấy món đó nữa : . thái độ nhân viên không thân thiện, gặp khách không cười . khách đang uống thì đem chổi ra lau rất mất thiện cảm.",0,0,0,2,0,0
rất khuyên bạn nên ghé thăm quán bar thể thao này,3,0,0,0,0,0
chợ khu. khu vực bán đồ ăn và các đồ khác. đồ cũng tưoi. nhiều khách du lịch ghé mua. nằm đường nguyễn huệ.,0,0,0,0,0,5
"đồ ăn hải sản tươi ngon, các món canh nấu rất tuyệt. giá cả hợp lý cũng ko rẻ, không đắt.",0,0,0,5,0,0
"tôi bắt xe chỗ đi từ sân bay về nhà.thái độ của tài xế không vui vẻ khi đón chúng tôi.mặt thì nhăn nhó thái độ thì lơ lơ.gia đình đi 
7 người.tài xe mở cốp xe rồi để tôi tự xếp hành lý vào.sau đó dẹp lun ghế sau để chất vali lên.5 người trong gia đình phải dồn vô ngồi ghế giữa. người ngồi ghế trước.lên xe thì nóng.tôi yêu cầu tài xế mở máy lạnh thì tài xế bảo cả sáng h đậu ngoài nắng nên nóng.chạy
p vẫn chưa thấy mở máy lạnh.mà trong xe nóng như cái lò người ngồi chen nhau.hỏi tiếp thì không trả lời.sau đó mình yêu cầu nhiều quá mới kêu đang mở.về gần đến nhà mới thấy quạt nó thổi mát được xíu.ngồi trên xep mà như cực hình.yêu cầu công ty xem xét lại thái độ làm việc của tài xế chạy xe lúch sáng ngày tháng.nghiêm túc phê bình.",1,0,0,0,1,0
"bãi đá trứng có những viên đá hình tròn hoặc bầu dục giống trứng khủng long trong thời cổ đại. nơi đây rất phù hợp cho các tín đồ mê “tự sướng” kỷ niệm. bãi đá khá nhỏ, nhưng cũng đáng để bạn trải nghiệm khi đến quy nhơn. lối vào bãi trứng mát mẻ và còn hoang sơ. bên đường rợp bóng cây và có các quán cafe để bạn dừng chân nghỉ ngơi thư giãn. tới đây bạn có thể gửi xe và đi bộ tham quan các địa điểm liền kề như hòn chồng, đền thờ hàn mặc tử, bãi hoàng hậu...",5,0,0,0,0,0
"tàu cá và tàu du lịch chung một chỗ nên rất mùi, giờ còn đang xây dựng nữa nên đường đi vào khá bẩn
",0,0,0,0,0,0
